Feature,Importance,Cumulative Importance
Recency,0.9900010171728395,0.9900010171728395
CancellationRate,0.0037055830389826744,0.9937066002118222
MinRevenue,0.0017128376997787539,0.9954194379116009
PurchaseSpan,0.0007744453869850488,0.9961938832985859
MinQuantity,0.0006859678537735935,0.9968798511523596
CancelledRevenue,0.00048823739520867637,0.9973680885475682
Frequency,0.00036943905040614687,0.9977375275979743
MedianRevenue,0.000306425903120716,0.998043953501095
AvgRevenue,0.0003011553442348962,0.9983451088453299
ActiveMonths,0.0002770112878503307,0.9986221201331802
MaxRevenue,0.00024749826351933024,0.9988696183966995
RevenueRange,0.00019539730100030526,0.9990650156976998
CancelledTransactions,0.00017599680477602538,0.9992410125024758
Monetary,0.00012906390929865426,0.9993700764117744
AvgQuantity,0.00011373752590747447,0.9994838139376819
MedianQuantity,0.00010615337214637701,0.9995899673098283
QuantitySTD,9.746252118362836e-05,0.9996874298310119
UniqueProducts,8.194887319887673e-05,0.9997693787042108
AvgProductsPerInvoice,6.721813224590365e-05,0.9998365968364566
MaxQuantity,6.561658343764011e-05,0.9999022134198943
AvgDaysBetweenPurchases,5.626970246385754e-05,0.9999584831223581
TotalQuantity,4.138976884490419e-05,0.9999998728912031
RevenueSTD,1.2710879657361675e-07,0.9999999999999997
WeekendPurchaseRate,0.0,0.9999999999999997
