Recency,Frequency,Monetary,TotalQuantity,AvgQuantity,MedianQuantity,MaxQuantity,MinQuantity,QuantitySTD,AvgRevenue,MedianRevenue,MaxRevenue,MinRevenue,RevenueSTD,RevenueRange,UniqueProducts,AvgProductsPerInvoice,ActiveMonths,PurchaseSpan,WeekendPurchaseRate,AvgDaysBetweenPurchases,CancelledTransactions,CancelledRevenue,CancellationRate,Cluster,CustomerSegment
326,12,77556.46,74285,2184.8529411764707,1.0,74215,1,12727.40389184704,6463.038333333334,22.5,77183.6,1.0,22271.22948104484,77182.6,27,2.833333333333333,4,400,0.0,35.90909090909091,5.0,-77608.20000000001,29.411764705882355,2,Exceptional High-Value Customer
2,8,4921.53,2967,13.364864864864863,12.0,240,2,17.33740834906414,615.19125,598.22,1294.32,224.82,315.7736577015478,1069.5,126,27.75,6,402,18.01801801801802,57.0,0.0,0.0,0.0,3,At-Risk Customers
75,5,2019.4,2714,53.21568627450981,24.0,144,1,48.70084751849405,403.88,310.0,892.8,222.16,279.89711824168535,670.64,25,9.4,4,362,5.88235294117647,90.5,0.0,0.0,0.0,3,At-Risk Customers
19,4,4428.6900000000005,1624,9.28,6.0,48,1,7.770885835390112,1107.1725,1235.5700000000002,1757.55,200.0,667.0172607149433,1557.55,138,43.75,4,570,0.0,189.66666666666663,1.0,-24.15,20.0,3,At-Risk Customers
310,1,334.40000000000003,197,11.588235294117649,12.0,24,1,4.345382945285314,334.40000000000003,334.40000000000003,334.40000000000003,334.40000000000003,0.0,0.0,17,17.0,1,0,0.0,0.0,0.0,0.0,0.0,0,VIP Customers
375,1,300.93,261,12.428571428571429,12.0,25,1,8.732533587518736,300.93,300.93,300.93,300.93,0.0,0.0,21,21.0,1,0,0.0,0.0,0.0,0.0,0.0,0,VIP Customers
36,10,2849.84,724,7.029126213592233,5.0,24,1,5.072912128581186,284.98400000000004,233.15,840.3,120.33,212.3328782412705,719.9699999999999,70,10.1,4,356,0.0,39.22222222222222,3.0,-960.63,23.07692307692308,3,At-Risk Customers
204,2,406.76,212,8.833333333333334,10.0,12,2,3.484957322010111,203.38,203.38,317.76,89.0,161.7577472642346,228.76,23,12.0,2,204,0.0,204.0,0.0,0.0,0.0,0,VIP Customers
232,1,1079.4,530,9.137931034482758,6.0,32,1,8.832651299446644,1079.4,1079.4,1079.4,1079.4,0.0,0.0,58,58.0,1,0,0.0,0.0,0.0,0.0,0.0,0,VIP Customers
214,2,947.61,543,15.514285714285714,8.0,96,2,18.69943602259237,473.80500000000006,473.80500000000006,488.21,459.4,20.371746365984457,28.81,35,17.5,1,353,0.0,353.0,0.0,0.0,0.0,0,VIP Customers
