StockCode,Description,PopularityScore,PopularityRank,TotalQuantity,TotalRevenue,PurchaseCount
85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.9346,1,88183,237833.96,5156
85099B,JUMBO BAG RED WHITE SPOTTY ,0.7787,2,92223,165751.82,3380
84879,ASSORTED COLOUR BIRD ORNAMENT,0.6585,3,77755,123631.87,2709
22423,REGENCY CAKESTAND 3 TIER,0.651,4,22674,261110.95,3676
21212,PACK OF 72 RETRO SPOT CAKE CASES,0.6248,5,88836,42893.17,2582
22197,"POPCORN HOLDER , SMALL ",0.5509,6,76140,57651.16,1884
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.5497,7,103505,23743.31,931
20725,LUNCH BAG RED SPOTTY,0.4799,8,36842,58029.3,2686
84991,60 TEATIME FAIRY CAKE CASES,0.4492,9,52502,25611.17,1826
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.4418,10,54373,26290.05,1614
47566,PARTY BUNTING,0.4333,11,23184,102089.38,2120
22386,JUMBO BAG PINK WITH WHITE SPOTS,0.43,12,36857,66904.73,1811
21232,STRAWBERRY CERAMIC TRINKET BOX,0.4215,13,34131,40044.62,2122
85099F,JUMBO BAG STRAWBERRY,0.4066,14,35559,63615.53,1551
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.4044,15,27910,75388.48,1752
17003,BROCADE RING PURSE ,0.4012,16,69343,14425.6,398
22178,VICTORIAN GLASS HANGING T-LIGHT,0.3919,17,36278,44498.56,1509
20727,LUNCH BAG  BLACK SKULL.,0.3868,18,24191,38141.55,2089
22383,LUNCHBAG SUKI  DESIGN ,0.3837,19,23693,37738.25,2070
22469,HEART OF WICKER SMALL,0.3796,20,25912,42891.89,1840
21931,JUMBO STORAGE BAG SUKI,0.3766,21,25580,47050.36,1762
POST,POSTAGE,0.3736,22,4981,110338.51,1983
85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.3719,23,28586,51617.3,1490
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.366,24,23866,44291.01,1712
21080,SET/20 RED SPOTTY PAPER NAPKINS ,0.3647,25,28841,22105.81,1707
20728,LUNCH BAG CARS BLUE,0.3634,26,22165,34967.93,1862
20914,SET/5 RED SPOTTY LID GLASS BOWLS,0.3632,27,17835,49126.53,1905
84946,ANTIQUE SILVER TEA GLASS ETCHED,0.3613,28,31103,36213.83,1382
21181,PLEASE ONE PERSON  METAL SIGN,0.3606,29,24052,47609.4,1582
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,0.3592,30,38537,23187.71,1140
21213,PACK OF 72 SKULL CAKE CASES,0.3579,31,38441,18270.23,1181
22384,LUNCHBAG PINK RETROSPOT,0.3572,32,19963,31860.75,1909
22382,LUNCHBAG SPACEBOY DESIGN ,0.3571,33,19225,30767.05,1955
22470,HEART OF WICKER LARGE,0.353,34,16708,48830.8,1805
21733,RED HANGING HEART T-LIGHT HOLDER,0.3453,35,16811,47766.05,1694
84992,72 SWEETHEART FAIRY CAKE CASES,0.3435,36,33526,16003.14,1222
21915,RED  HARMONICA IN BOX ,0.3426,37,34349,38884.65,904
