StockCode,Description,PurchaseCount,TotalQuantity,AverageQuantity,TotalRevenue,AverageRevenue,UniqueCustomers,TotalQuantity_Normalized,TotalRevenue_Normalized,PurchaseCount_Normalized,PopularityScore,PopularityRank
10002,INFLATABLE POLITICAL GLOBE ,309,7256,23.48,5754.72,18.62,164,0.09514900817899784,0.42849307988811586,0.05974781765276431,0.1945,422
10080,GROOVY CACTUS INFLATABLE,27,303,11.22,124.61,4.62,23,0.029782833505687695,0.41589245986019985,0.00504364694471387,0.1502,831
10109,BENDY COLOUR PENCILS,1,4,4.0,1.68,1.68,1,0.02697189057064962,0.41561733304739656,0.0,0.1475,858
10120,DOGGY RUBBER,63,618,9.81,129.78,2.06,52,0.032744194791764596,0.4159040307185924,0.012027158098933075,0.1536,797
10123C,HEARTS WRAPPING TAPE ,48,478,9.96,214.22,4.46,39,0.03142803422017486,0.41609301394541337,0.009117361784675072,0.1522,811
10123G,ARMY CAMO WRAPPING TAPE,14,1142,81.57,90.94,6.5,12,0.03767039578828617,0.41581710380563963,0.002521823472356935,0.152,813
10124A,SPOTS ON RED BOOKCOVER TAPE,18,58,3.22,24.36,1.35,18,0.02747955250540566,0.4156680926350837,0.003297769156159069,0.1488,845
10124G,ARMY CAMO BOOKCOVER TAPE,9,32,3.56,13.44,1.49,9,0.027235122684967566,0.4156436528336047,0.0015518913676042677,0.1481,852
10125,MINI FUNKY DESIGN TAPES,126,1970,15.63,1562.7,12.4,87,0.045454545454545456,0.41911101609727974,0.02424830261881668,0.1629,704
10133,COLOURING PENCILS BROWN TUBE,205,3287,16.03,1898.09,9.26,153,0.05783585597442888,0.41986164476193505,0.03957322987390883,0.1724,609
10134,COLOURING PENCILS BROWN TUBE,51,602,11.8,689.8,13.53,44,0.032593776440725766,0.4171573986329019,0.009699321047526674,0.1532,801
10135,COLOURING PENCILS BROWN TUBE,254,3876,15.26,4034.39,15.88,178,0.06337313152204568,0.4246428487820407,0.049078564500484964,0.179,550
10138,ASSORTED COLOUR JUMBO PEN,20,53,2.65,21.84,1.09,17,0.027432546770706025,0.41566245268089624,0.0036857419980601356,0.1489,844
11001,ASSTD DESIGN RACING CAR PEN,194,3462,17.85,5515.42,28.43,119,0.05948105668891605,0.42795750804801325,0.03743937924345296,0.175,584
15030,FAN BLACK FRAME ,27,254,9.41,73.66,2.73,23,0.029322177305631286,0.41577842983406854,0.00504364694471387,0.15,833
15034,PAPER POCKET TRAVELING FAN ,179,8370,46.76,1040.06,5.81,123,0.10562188587007615,0.4179413075034174,0.03452958292919495,0.186,487
